Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
PCDHA10,Protocadherin alpha 10,56139,"CNR8, CNRN8, CNRS8, CRNR8, PCDH-ALPHA10",5,5q31.3,Q9Y5I2,606316,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA10 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",4,0,,0,,23031252,,22210889,"22542183,30504930"
PCDHA11,Protocadherin alpha 11,56138,"CNR7, CNRN7, CNRS7, CRNR7, PCDH-ALPHA11",5,5q31.3,Q9Y5I1,606317,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA11 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).  A novel de novo missense variant in this gene was detected in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014; this variant was later reported as predicted to be probably damaging by PolyPhen-2 in Sanders et al., 2015.",5,0,,0,,23031252,,22210889,"22542183,25363768,31398340"
PCDHA12,Protocadherin alpha 12,56137,PCDH-ALPHA12,5,5q31.3,Q9UN75,606318,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA12 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",3,0,,0,,23031252,,22210889,22542183
PCDHA13,Protocadherin alpha 13,56136,"CNR5, CNRN5, CNRS5, CRNR5, PCDH-ALPHA13",5,5q31.3,Q9Y5I0,606319,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Four SNPs within PCDHA13 (rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).  Furthermore, a de novo deletion in the PCDHA gene cluster that was predicted to result in a frameshift was detected in a simplex ASD case (Iossifov et al., 2012), while a de novo missense variant that was predicted to be damaging was observed in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014).",4,0,,0,,23031252,,22210889,"22542183,25363760"
PCDHA2,Protocadherin alpha 2,56146,PCDH-ALPHA2,5,5q31.3,Q9Y5H9,606308,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA2 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).  A de novo missense variant that was predicted to be damaging in the PCDHA2 gene was observed in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014; this variant was later reported to be a postzygotic mosaic mutation (Allele Fraction 0.38) in Lim et al., 2017.",5,0,,0,,23031252,,22210889,"22542183,25363768,31398340"
PCDHA3,Protocadherin alpha 3,56145,PCDH-ALPHA3,5,5q31.3,Q9Y5H8,606309,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA3 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",3,0,,0,,23031252,,22210889,22542183
PCDHA4,Protocadherin alpha 4,56144,"CNR1, CNRN1, CRNR1, PCDH-ALPHA4",5,5q31.3,Q9UN74,606310,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA4 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",4,0,,0,,23031252,,22210889,"22542183,28714951"
PCDHA5,Protocadherin alpha 5,56143,"CNR6, CNRN6, CNRS6, CRNR6, PCDH-ALPHA5",5,5q31.3,Q9Y5H7,606311,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA5 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).  A rare de novo missense variant in this gene was observed in an ASD proband from the Autism Sequencing Consortium in De Rubeis et al., 2014; however, this variant was predicted to be benign in Sanders et al., 2015.",5,0,,0,,23031252,,22210889,"22542183,25363760,25533962"
PCDHA6,Protocadherin alpha 6,56142,"CNR2, CNRN2, CNRS2, CRNR2, PCDH-ALPHA6",5,5q31.3,Q9UN73,606312,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA6 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",3,0,,0,,23031252,,22210889,22542183
PCDHA7,Protocadherin alpha 7,56141,"CNR4, CNRN4, CNRS4, CRNR4, PCDH-ALPHA7",5,5q31.3,Q9UN72,606313,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA7 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",5,0,,0,,23031252,,22210889,"22542183,31398340,31674007"
PCDHA8,Protocadherin alpha 8,56140,PCDH-ALPHA8,5,5q31.3,Q9Y5H6,606314,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA8 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).  A de novo postzygotic mosaic mutation (Allele Fraction 0.13; Group C variant) in the PCDHA8 gene (p.Gly97Arg) was identified in a female ASD proband in Lim et al., 2017.",4,0,,0,,23031252,,22210889,"22542183,28714951"
PCDHA9,Protocadherin alpha 9,9752,PCDH-ALPHA9,5,5q31.3,Q9Y5H5,606315,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Rare single gene variant,"Five SNPs within PCDHA9 (rs251379, rs1119032, rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).  A novel de novo missense variant in this gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014; however, this variant was predicted to be benign in Sanders et al., 2015.",4,0,,0,,23031252,,22210889,"22542183,25363768"
PCDHAC1,"Protocadherin alpha subfamily C, 1",56135,PCDH-ALPHA-C1,5,5q31.3,Q9H158,606320,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Genetic association,"Three SNPs within PCDHAC1 (rs17119271, rs155806, and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",3,0,,0,,23031252,,22210889,31398340
PCDHAC2,"Protocadherin alpha subfamily C, 2",56134,PCDH-ALPHA-C2,5,5q31.3,Q9Y5I4,606321,"This gene is a member of the protocadherin alpha gene cluster, one of three related gene clusters tandemly linked on chromosome five that demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The alpha gene cluster is composed of 15 cadherin superfamily genes related to the mouse CNR genes and consists of 13 highly similar and 2 more distantly related coding sequences. The tandem array of 15 N-terminal exons, or variable exons, are followed by downstream C-terminal exons, or constant exons, which are shared by all genes in the cluster. The large, uninterrupted N-terminal exons each encode six cadherin ectodomains while the C-terminal exons encode the cytoplasmic domain. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell connections in the brain.",Genetic association,"Two SNPs within PCDHAC2 (rs155806 and rs17119346) showed significant association with autism in a family-based association study using 14 SNPs within the PCDHA gene cluster in 841 ASD families (574 of which were multiplex) obtained from the Autism Genetic Resource Exchange (AGRE) (Anitha et al., 2012).",3,0,,0,,23031252,,"22210889,26691832",
PCDHGA11,"protocadherin gamma subfamily A, 11",56105,PCDH-GAMMA-A11,5,5q31.3,Q9Y5H2,606298,Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.,Rare Single Gene variant,"A rare mutation in the PCDHGA11 gene has been identified in an individual with ASD (Sato et al., 2012).",2,0,,0,,22503632,,,31398340
PCM1,pericentriolar material 1,5108,"PTC4, RET/PCM-1",8,8p22,Q15154,600299,"The protein encoded by this gene is a component of centriolar satellites, which are electron dense granules scattered around centrosomes. Inhibition studies show that this protein is essential for the correct localization of several centrosomal proteins, and for anchoring microtubules to the centrosome.",Rare single gene variant,"A de novo missense variant that was predicted to be damaging was identified in the PCM1 gene in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014), while transmitted protein-truncating variants (PTVs) in this gene were observed in ASD probands from the Autism Sequencing Consortium and the iHART cohort (De Rubeis et al., 2014; Ruzzo et al., 2019).  TADA analysis of de novo and transmitted variants from iHART, the Simons Simplex Collection, the Autism Sequencing Consortium, and the Autism Genome Project in Ruzzo et al., 2019 identified PCM1 as an ASD candidate gene with a false discovery rate (FDR) < 0.1.",3,0,,0,,25363768,,31398340,25363760
PDCD1,programmed cell death 1,5133,"CD279, PD-1, PD1, SLEB2, hPD-1, hPD-l, hSLE1",2,2q37.3,Q15116,600244,"This gene encodes a cell surface membrane protein of the immunoglobulin superfamily. This protein is expressed in pro-B-cells and is thought to play a role in their differentiation. Inhibitory cell surface receptor involved in the regulation of T-cell function during immunity and tolerance. Upon ligand binding, inhibits T-cell effector functions in an antigen-specific manner. Possible cell death inducer, in association with other factors.",Rare single gene variant,"A de novo frameshift variant and a de novo missense variant in the PDCD1 gene were identified in ASD probands from the Simons Simplex Collection (O'Roak et al., 2012; Iossifov et al., 2014). Transmission and De Novo Association (TADA) analysis of a combined cohort consisting of 536 Chinese ASD probands and 1457 Chinese controls, as well as ASD probands and controls from the Simons Simplex Collection and the Autism Sequencing Consortium, in Guo et al., 2017 identified PDCD1 as an ASD candidate gene with a PTADA of 0.001143.",3,0,,0,,22495309,,28831199,25363768
PDE1C,phosphodiesterase 1C,5137,"Hcam3, cam-PDE 1C, hCam-3",7,7p14.3,Q14123,602987,"Cyclic nucleotide phosphodiesterases (PDEs) catalyze hydrolysis of the cyclic nucleotides cAMP and cGMP to the corresponding nucleoside 5-prime-monophosphates. Members of the PDE1 family, such as PDE1C, are calmodulin-dependent PDEs (CaM-PDEs) that are stimulated by a calcium-calmodulin complex.",Rare Single Gene variant,"An intronic SNP in the PDE1C gene was found to associate with ASD (P-value  < 1.0E-04) in a GWAS meta-analysis of 7387 ASD cases and 8567 controls (Autism Spectrum Disorders Working Group of the Psychiatric Genomics Consortium 2017).  Inherited missense variants in the PDE1C gene have been identified in ASD probands in two reports (Vaags et al., 2012; Krupp et al., 2017).",3,1,28540026,0,,22209245,,,28867142
PDE4A,phosphodiesterase 4A,5141,"DPDE2, PDE4, PDE46",19,19p13.2,P27815,600126,"The protein encoded by this gene belongs to the cyclic nucleotide phosphodiesterase (PDE) family, and PDE4 subfamily. This PDE hydrolyzes the second messenger, cAMP, which is a regulator and mediator of a number of cellular responses to extracellular signals. Thus, by regulating the cellular concentration of cAMP, this protein plays a key role in many important physiological processes. Alternatively spliced transcript variants encoding different isoforms have been described for this gene.",Functional,"A study found significant changes in PDE4A expression in the superior frontal cortex and cerebellum of subjects with autism (Braun et al., 2007).",2,0,,0,,18090323,,,23375656
PDE4B,"phosphodiesterase 4B, cAMP-specific",5142,"RP5-876C12.1, DPDE4, PDE4B5, PDEIVB",1,1p31.3,Q07343,600127,"The protein encoded by this gene belongs to the cyclic nucleotide phosphodiesterase (PDE) family, and PDE4 subfamily. The PDEs regulate the cellular concentrations of cyclic nucleotides and thereby play a role in signal transduction. This gene encodes a protein that specifically hydrolyzes cAMP. Altered activity of this protein has been associated with schizophrenia and bipolar affective disorder. Alternate transcriptional splice variants, encoding different isoforms, have been characterized.",Functional,"A study found significant changes in PDE4B expression in the superior frontal cortex and cerebellum of subjects with autism (Braun et al., 2007). Recently, a de novo synonymous variant in this gene was identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2012).",6,1,29483656,0,,18090323,,"26731442,26938441","22542183,31398340"
PDIA5,protein disulfide isomerase family A member 5,10954,PDIR,3,3q21.1,Q14554,616942,"This gene encodes a member of the disulfide isomerase (PDI) family of endoplasmic reticulum (ER) proteins that catalyze protein folding and thiol-disulfide interchange reactions. The encoded protein has an N-terminal ER-signal sequence, three catalytically active thioredoxin (TRX) domains, a TRX-like domain, and a C-terminal ER-retention sequence. The N-terminal TRX-like domain is the primary binding site for the major ER chaperone calreticulin and possibly other proteins and substrates as well.",Genetic association,"A cluster-based genome-wide association study (cluster-based GWAS) using phenotypic variables of ADI-R scores and history of vitamin treatment with a data set of 597 ASD cases and 370 controls from the Simons Simplex Collection in Narita et al., 2020 identified two intronic SNPs in the PDIA5 gene that reached genome-wide significance with cluster 6.",1,0,,0,,32807774,,,
PDK2,pyruvate dehydrogenase kinase 2,5164,"PDHK2, PDKII",17,17q21.33,Q15119,602525,"This gene encodes a member of the pyruvate dehydrogenase kinase family. The encoded protein phosphorylates pyruvate dehydrogenase, down-regulating the activity of the mitochondrial pyruvate dehydrogenase complex.",Rare single gene variant,"De novo missense variants in the PDK2 gene have been identified in two probands with ASD (Iossifov et al., 2014; Yuen et al., 2017) and one proband with an unspecified developmental disorder (Deciphering Developmental Disorders Study 2017).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified PDK2 as a gene with an excess of missense variants with CADD scores > 30 (false discovery rata < 5%, count >1) (Coe et al., 2018).",4,0,,0,,25363768,,30559488,"28135719,28263302"
PDZD4,PDZ domain containing 4,57595,LU1; PDZK4; PDZRN4L,X,Xq28,Q76G19,300634,Expressed inthe brain,Rare Single Gene variant,"Rare mutations in the PDZD4 gene have been identified with autism (Piton et al., 2011).",4,0,,0,,20479760,"15077175,15138636",,28831199
PDZRN4,PDZ domain containing ring finger 4,29951,"LNX4, SAMCAP3L",12,12q12,Q6ZMN7,609730,,Genetic association,"A cluster-based genome-wide association study (cluster-based GWAS) using phenotypic variables of ADI-R scores and history of vitamin treatment with a data set of 597 ASD cases and 370 controls from the Simons Simplex Collection in Narita et al., 2020 identified an intronic SNP in the PDZRN4 gene (rs7299395) that reached genome-wide significance with cluster 12 (odds ratio 8.52 (95% CI 3.6519.89); P-value 1.15108).",1,0,,0,,32807774,,,
PEBP4,phosphatidylethanolamine binding protein 4,157310,"CORK-1, CORK1, GWTM1933, HEL-S-300, PEBP-4, PRO4408, hPEBP4",8,8p21.3,Q96S96,612473,"The phosphatidylethanolamine (PE)-binding proteins, including PEBP4, are an evolutionarily conserved family of proteins with pivotal biologic functions, such as lipid binding and inhibition of serine proteases.  Seems to promote cellular resistance to TNF-induced apoptosis by inhibiting activation of the Raf-1/MEK/ERK pathway, JNK and phosphatidylethanolamine externalization.",Rare single gene variant,"Integration of familial whole-exome datasets of 3,531 individuals from 1,704 simplex ASD families and 50 multiplex ASD families and expression data from the BrainSpan Atlas of the Developmental Human Brain in Luo et al., 2020 identified a neurodevelopmentally co-regulated, sex-differentially expressed cluster of exons enriched with ASD-segregating deleterious variants in the PEBP4 gene (Bonferroni-corrected cluster P-value of 5.26E-03).",1,0,,0,,32778826,,,
PECR,peroxisomal trans-2-enoyl-CoA reductase,55825,"PRO1004, DCRRP, HPDHASE, HSA250303, PVIARL, SDR29C1, TERP",2,2q35,Q9BY49,605843,"This enzyme participates in chain elongation of fatty acids and has no 2,4-dienoyl-CoA reductase activity.",Rare Single Gene variant,"A rare mutation in the PECR gene has been identified with ASD (Najmabadi et al., 2011).",2,0,,0,,21937992,,,25533962
PER1,period homolog 1 (Drosophila),5187,"PER, hPER, RIGUI, MGC88021",17,17p13.1,O15534,602260,"This gene is a member of the Period family of genes and is expressed in a circad ian pattern in the suprachiasmatic nucleus, the primary circadian pacemaker in t he mammalian brain.",Genetic Association,"Genetic association has been found between the PER1 gene and autism in an AGRE cohort (Nicholas et al., 2007). In addition, rare mutations in the PER1 gene have been identified in individuals with ASD (Neale et al., 2012).",7,0,,0,,17264841,10613504,"17482552,17535553","22495311,28831199,31398340"
PER2,period circadian clock 2,8864,"FASPS, FASPS1",2,2q37.3,O15055,603426,"This gene is a member of the Period family of genes and is expressed in a circadian pattern in the suprachiasmatic nucleus, the primary circadian pacemaker in the mammalian brain. Genes in this family encode components of the circadian rhythms of locomotor activity, metabolism, and behavior. This gene is upregulated by CLOCK/ARNTL heterodimers but then represses this upregulation in a feedback loop using PER/CRY heterodimers to interact with CLOCK/ARNTL.",Rare single gene variant,"A de novo loss-of-function variant in the PER2 gene was observed in an ASD proabnd from the Simons Simplex Collection in Iossifov et al., 2014. Yuen et al., 2017 identified additional PER2 variants by whole genome sequencing in four ASD families, including a de novo LoF variant in a simplex family from the ASD: Genomes to Outcome Study cohort. Despite being a mutation-intolerant gene with a pLI score of 0.93, PER2 did not meet the statistical significance criteria used in Yuen et al., 2017 to be designated as an ASD candidate gene, which was a higher-than-expected mutation rate (false discovery rate < 15%).",3,0,,0,,25363768,,28263302,31398340
PEX7,peroxisomal biogenesis factor 7,5191,"RP11-55K22.6, PTS2R, RCDP1, RD",6,6q23.3,O00628,601757,"This gene encodes the cytosolic receptor for the set of peroxisomal matrix enzymes targeted to the organelle by the peroxisome targeting signal 2 (PTS2). Defects in this gene cause peroxisome biogenesis disorders (PBDs), which are characterized by multiple defects in peroxisome function.",Genetic Association,"Genetic association has been found between the PEX7 gene and ASD in a Korean population cohort (Ro et al., 2012). A homozygous loss-of-function missense variant in the PEX7 gene was identified in three affected children born to consanguineous parents from a multiplex ASD pedigree; this variant was heterozygous in both parents and in three unaffected children (Yu et al., 2013).",4,0,,0,,22378669,,23352163,"25533962,32717741"
PGLYRP2,peptidoglycan recognition protein 2,114770,"HMFT0141, PGLYRPL, PGRP-L, PGRPL, TAGL-like, tagL, tagL-alpha, tagl-beta",19,19p13.12,Q96PD5,608199,"This gene encodes a peptidoglycan recognition protein, which belongs to the N-acetylmuramoyl-L-alanine amidase 2 family. This protein hydrolyzes the link between N-acetylmuramoyl residues and L-amino acid residues in bacterial cell wall glycopeptides, and thus may play a scavenger role by digesting biologically active peptidoglycan into biologically inactive fragments.",Rare single gene variant,"Pglyrp2-knockout mice were shown to exhibit altered expression of the autism risk gene c-Met, as well as sex-dependent changes in social behavior, similar to mice with manipulated microbiota (Arentsen et al., 2016).",4,0,,0,,27843150,,,"25363760,28714951,31452935"
