"gene"	"pLI"	"intolerant"	"interaction_type"	"snp"	"log2_aFC"
"COLGALT2"	1.0935e-10	"Tolerant"	"non-eQTL"	NA	NA
"STK16"	0.0001182	"Tolerant"	"non-eQTL"	NA	NA
"TBC1D4"	8.473e-24	"Tolerant"	"non-eQTL"	NA	NA
"ZCCHC18"	0.41342	"Tolerant"	"non-eQTL"	NA	NA
"P2RX7"	3.3344e-11	"Tolerant"	"non-eQTL"	NA	NA
"MICAL1"	3.3837e-22	"Tolerant"	"non-eQTL"	NA	NA
"CHKB"	3.7831e-07	"Tolerant"	"non-eQTL"	NA	NA
"ORAI2"	0.20459	"Tolerant"	"non-eQTL"	NA	NA
"TYMP"	0.00011694	"Tolerant"	"non-eQTL"	NA	NA
"MRPL45"	3.7571e-05	"Tolerant"	"non-eQTL"	NA	NA
"EEF1E1"	0.082607	"Tolerant"	"non-eQTL"	NA	NA
"HEXB"	3.4915e-10	"Tolerant"	"non-eQTL"	NA	NA
"ACSBG2"	1.0757e-10	"Tolerant"	"non-eQTL"	NA	NA
"TMPRSS11D"	1.1964e-05	"Tolerant"	"non-eQTL"	NA	NA
"B3GALT1"	0.01019	"Tolerant"	"non-eQTL"	NA	NA
"WNT10B"	0.0003616	"Tolerant"	"non-eQTL"	NA	NA
"PAQR3"	3.7364e-05	"Tolerant"	"non-eQTL"	NA	NA
"FICD"	0.010193	"Tolerant"	"non-eQTL"	NA	NA
"ARL6"	0.01013	"Tolerant"	"non-eQTL"	NA	NA
"GLYATL1"	0.0033704	"Tolerant"	"non-eQTL"	NA	NA
"CD69"	0.029691	"Tolerant"	"non-eQTL"	NA	NA
"KREMEN2"	3.7207e-05	"Tolerant"	"non-eQTL"	NA	NA
"GDF1"	0.41237	"Tolerant"	"non-eQTL"	NA	NA
"ZNF484"	1.156e-08	"Tolerant"	"non-eQTL"	NA	NA
"SNX7"	3.7323e-05	"Tolerant"	"non-eQTL"	NA	NA
"POLR1E"	3.7381e-07	"Tolerant"	"non-eQTL"	NA	NA
"CC2D1B"	1.748e-18	"Tolerant"	"non-eQTL"	NA	NA
"DUSP1"	0.010151	"Tolerant"	"non-eQTL"	NA	NA
"ZCCHC9"	0.0011065	"Tolerant"	"non-eQTL"	NA	NA
"ARG1"	0.00035944	"Tolerant"	"non-eQTL"	NA	NA
"CA6"	0.00035958	"Tolerant"	"non-eQTL"	NA	NA
"PHACTR1"	0.63537	"Tolerant"	"non-eQTL"	NA	NA
"IRF3"	0.00011576	"Tolerant"	"non-eQTL"	NA	NA
"TPPP"	0.20334	"Tolerant"	"non-eQTL"	NA	NA
"PLA2G4D"	2.6287e-14	"Tolerant"	"non-eQTL"	NA	NA
"VWA3A"	1.6824e-25	"Tolerant"	"non-eQTL"	NA	NA
"GDNF"	0.2035	"Tolerant"	"non-eQTL"	NA	NA
"UBASH3A"	1.0489e-10	"Tolerant"	"non-eQTL"	NA	NA
"GTF2B"	0.00011548	"Tolerant"	"non-eQTL"	NA	NA
"FBXL4"	1.1384e-08	"Tolerant"	"non-eQTL"	NA	NA
"NLRC4"	9.8714e-12	"Tolerant"	"non-eQTL"	NA	NA
"RBAK"	1.1355e-08	"Tolerant"	"non-eQTL"	NA	NA
"UEVLD"	3.7228e-07	"Tolerant"	"non-eQTL"	NA	NA
"LRRC46"	0.0011032	"Tolerant"	"non-eQTL"	NA	NA
"SLFN14"	3.5128e-09	"Tolerant"	"non-eQTL"	NA	NA
"ICOSLG"	0.00035482	"Tolerant"	"non-eQTL"	NA	NA
"PDK2"	3.7102e-06	"Tolerant"	"non-eQTL"	NA	NA
"SEMA4F"	9.1544e-13	"Tolerant"	"non-eQTL"	NA	NA
"ZSCAN29"	1.0345e-10	"Tolerant"	"non-eQTL"	NA	NA
"ATP1B4"	0.00035587	"Tolerant"	"non-eQTL"	NA	NA
"GCNT1"	0.0033333	"Tolerant"	"non-eQTL"	NA	NA
"MEP1A"	9.1509e-13	"Tolerant"	"non-eQTL"	NA	NA
"C2orf43"	0.00035525	"Tolerant"	"non-eQTL"	NA	NA
"PRMT6"	0.0033368	"Tolerant"	"non-eQTL"	NA	NA
"FASTKD5"	3.5791e-08	"Tolerant"	"non-eQTL"	NA	NA
"INVS"	5.5501e-18	"Tolerant"	"non-eQTL"	NA	NA
"RP11-295P9.3"	0.010051	"Tolerant"	"non-eQTL"	NA	NA
"C19orf38"	0.010044	"Tolerant"	"non-eQTL"	NA	NA
"FMR1NB"	0.081815	"Tolerant"	"non-eQTL"	NA	NA
"KCNA5"	0.0010938	"Tolerant"	"non-eQTL"	NA	NA
"CTD-3074O7.11"	3.1562e-11	"Tolerant"	"non-eQTL"	NA	NA
"IL12B"	0.00011439	"Tolerant"	"non-eQTL"	NA	NA
"ADCK2"	3.6479e-07	"Tolerant"	"non-eQTL"	NA	NA
"TXNDC2"	0.6341	"Tolerant"	"non-eQTL"	NA	NA
"TRIM43"	0.010008	"Tolerant"	"non-eQTL"	NA	NA
"RMI1"	3.6565e-06	"Tolerant"	"non-eQTL"	NA	NA
"DUSP5"	0.0033227	"Tolerant"	"non-eQTL"	NA	NA
"TUBD1"	1.1505e-06	"Tolerant"	"non-eQTL"	NA	NA
"CD27"	0.010011	"Tolerant"	"non-eQTL"	NA	NA
"RBMXL1"	0.029284	"Tolerant"	"non-eQTL"	NA	NA
"TMEM50B"	0.029357	"Tolerant"	"non-eQTL"	NA	NA
"TMEM70"	0.029285	"Tolerant"	"non-eQTL"	NA	NA
"PNMAL1"	0.0033297	"Tolerant"	"non-eQTL"	NA	NA
"C11orf63"	2.9259e-12	"Tolerant"	"non-eQTL"	NA	NA
"CATSPERD"	7.5066e-15	"Tolerant"	"non-eQTL"	NA	NA
"COL6A5"	5.609e-45	"Tolerant"	"non-eQTL"	NA	NA
"TYROBP"	0.20238	"Tolerant"	"non-eQTL"	NA	NA
"ZNF454"	3.6416e-06	"Tolerant"	"non-eQTL"	NA	NA
"ARHGAP22"	3.4043e-09	"Tolerant"	"non-eQTL"	NA	NA
"PRKAA2"	3.5282e-08	"Tolerant"	"non-eQTL"	NA	NA
"TP53I13"	0.00011241	"Tolerant"	"non-eQTL"	NA	NA
"TDRD10"	1.1461e-05	"Tolerant"	"non-eQTL"	NA	NA
"TM6SF2"	3.6097e-05	"Tolerant"	"non-eQTL"	NA	NA
"IGFBP6"	0.02915	"Tolerant"	"non-eQTL"	NA	NA
"LRRC32"	0.001078	"Tolerant"	"non-eQTL"	NA	NA
"FRZB"	0.0010842	"Tolerant"	"non-eQTL"	NA	NA
"LIX1L"	0.00034864	"Tolerant"	"non-eQTL"	NA	NA
"ALDH1L2"	1.7337e-17	"Tolerant"	"non-eQTL"	NA	NA
"COL22A1"	4.4899e-45	"Tolerant"	"non-eQTL"	NA	NA
"KNG1"	3.2071e-10	"Tolerant"	"non-eQTL"	NA	NA
"ADAM32"	2.1571e-15	"Tolerant"	"non-eQTL"	NA	NA
"ADAM33"	2.1487e-15	"Tolerant"	"non-eQTL"	NA	NA
"MTHFR"	3.2068e-10	"Tolerant"	"non-eQTL"	NA	NA
"TRMT2A"	1.0841e-08	"Tolerant"	"non-eQTL"	NA	NA
"SLC29A4"	1.1358e-05	"Tolerant"	"non-eQTL"	NA	NA
"ECM2"	3.333e-09	"Tolerant"	"non-eQTL"	NA	NA
"CEP41"	3.5915e-06	"Tolerant"	"non-eQTL"	NA	NA
"BLVRA"	0.00034786	"Tolerant"	"non-eQTL"	NA	NA
"CCZ1"	3.5878e-06	"Tolerant"	"non-eQTL"	NA	NA
"OTUD3"	3.5645e-05	"Tolerant"	"non-eQTL"	NA	NA
"PBXIP1"	9.7925e-11	"Tolerant"	"non-eQTL"	NA	NA
"THBS4"	1.5117e-18	"Tolerant"	"non-eQTL"	NA	NA
"TMEM203"	0.63351	"Tolerant"	"non-eQTL"	NA	NA
"NVL"	4.2587e-19	"Tolerant"	"non-eQTL"	NA	NA
"RARS2"	7.7352e-14	"Tolerant"	"non-eQTL"	NA	NA
"SLC2A2"	3.4337e-08	"Tolerant"	"non-eQTL"	NA	NA
"RIN1"	3.5054e-07	"Tolerant"	"non-eQTL"	NA	NA
"CD3E"	0.00034464	"Tolerant"	"non-eQTL"	NA	NA
"TXN"	0.20119	"Tolerant"	"non-eQTL"	NA	NA
"MME"	1.465e-18	"Tolerant"	"non-eQTL"	NA	NA
"KBTBD7"	3.5716e-06	"Tolerant"	"non-eQTL"	NA	NA
"KRT9"	1.1272e-06	"Tolerant"	"non-eQTL"	NA	NA
"ZNF626"	0.40889	"Tolerant"	"non-eQTL"	NA	NA
"KLHL40"	3.5382e-06	"Tolerant"	"non-eQTL"	NA	NA
"VPS51"	1.052e-08	"Tolerant"	"non-eQTL"	NA	NA
"IMPA2"	0.0010588	"Tolerant"	"non-eQTL"	NA	NA
"CHI3L1"	1.1133e-05	"Tolerant"	"non-eQTL"	NA	NA
"PSMG1"	0.00034234	"Tolerant"	"non-eQTL"	NA	NA
"ANKMY2"	3.5166e-06	"Tolerant"	"non-eQTL"	NA	NA
"C17orf59"	0.20068	"Tolerant"	"non-eQTL"	NA	NA
"DIS3L"	1.4172e-18	"Tolerant"	"non-eQTL"	NA	NA
"CASP1"	3.5183e-05	"Tolerant"	"non-eQTL"	NA	NA
"GLI1"	7.6639e-14	"Tolerant"	"non-eQTL"	NA	NA
"PKLR"	3.4869e-07	"Tolerant"	"non-eQTL"	NA	NA
"THOC3"	0.028748	"Tolerant"	"non-eQTL"	NA	NA
"TUBGCP6"	2.5559e-31	"Tolerant"	"non-eQTL"	NA	NA
"COL19A1"	4.8406e-33	"Tolerant"	"non-eQTL"	NA	NA
"MYOT"	3.3663e-08	"Tolerant"	"non-eQTL"	NA	NA
"FLOT1"	1.0422e-08	"Tolerant"	"Cis"	"rs3129981"	0.592932639236655
"FLOT1"	1.0422e-08	"Tolerant"	"Cis"	"rs1264372"	0.526355220819443
"SH3D21"	8.7925e-12	"Tolerant"	"non-eQTL"	NA	NA
"USP40"	1.1506e-25	"Tolerant"	"non-eQTL"	NA	NA
"EXO1"	8.12e-13	"Tolerant"	"non-eQTL"	NA	NA
"FAM178B"	8.2105e-13	"Tolerant"	"non-eQTL"	NA	NA
"HOOK2"	4.6471e-18	"Tolerant"	"non-eQTL"	NA	NA
"YY2"	0.40781	"Tolerant"	"non-eQTL"	NA	NA
"CCDC180"	1.531e-40	"Tolerant"	"non-eQTL"	NA	NA
"MED9"	0.4077	"Tolerant"	"non-eQTL"	NA	NA
"AQPEP"	5.3008e-17	"Tolerant"	"non-eQTL"	NA	NA
"C3orf67"	9.4026e-11	"Tolerant"	"non-eQTL"	NA	NA
"KIF7"	2.2711e-22	"Tolerant"	"non-eQTL"	NA	NA
"ACBD4"	1.0857e-06	"Tolerant"	"non-eQTL"	NA	NA
"SYT17"	1.0974e-05	"Tolerant"	"non-eQTL"	NA	NA
"SARS2"	9.77e-10	"Tolerant"	"non-eQTL"	NA	NA
"ADAM8"	2.1983e-14	"Tolerant"	"non-eQTL"	NA	NA
"LY75"	7.4472e-46	"Tolerant"	"non-eQTL"	NA	NA
"LY75-CD302"	7.4472e-46	"Tolerant"	"non-eQTL"	NA	NA
"KRT80"	3.4641e-06	"Tolerant"	"non-eQTL"	NA	NA
"RNFT1"	1.0891e-06	"Tolerant"	"non-eQTL"	NA	NA
"KIAA1328"	3.2984e-08	"Tolerant"	"non-eQTL"	NA	NA
"TUSC3"	3.4606e-06	"Tolerant"	"non-eQTL"	NA	NA
"ZNF227"	9.2465e-11	"Tolerant"	"non-eQTL"	NA	NA
"HRAS"	0.079774	"Tolerant"	"non-eQTL"	NA	NA
"GSG1"	0.0010401	"Tolerant"	"non-eQTL"	NA	NA
"THBS3"	2.5795e-21	"Tolerant"	"non-eQTL"	NA	NA
"FLVCR2"	3.4299e-06	"Tolerant"	"non-eQTL"	NA	NA
"TELO2"	7.2029e-14	"Tolerant"	"non-eQTL"	NA	NA
"DNA2"	1.2748e-18	"Tolerant"	"non-eQTL"	NA	NA
"CDO1"	0.0096603	"Tolerant"	"non-eQTL"	NA	NA
"PERP"	0.079462	"Tolerant"	"non-eQTL"	NA	NA
"VHL"	0.079515	"Tolerant"	"non-eQTL"	NA	NA
"HMOX1"	0.0096817	"Tolerant"	"non-eQTL"	NA	NA
"OAS1"	3.4489e-05	"Tolerant"	"non-eQTL"	NA	NA
"EGFLAM"	3.7564e-19	"Tolerant"	"non-eQTL"	NA	NA
"SCD5"	0.0010398	"Tolerant"	"non-eQTL"	NA	NA
"CALCR"	3.1176e-09	"Tolerant"	"non-eQTL"	NA	NA
"TRMT13"	1.039e-07	"Tolerant"	"non-eQTL"	NA	NA
"PDSS1"	3.2449e-08	"Tolerant"	"non-eQTL"	NA	NA
"IER3"	0.63122	"Tolerant"	"non-eQTL"	NA	NA
"PIH1D1"	0.0001069	"Tolerant"	"non-eQTL"	NA	NA
"RELT"	1.0729e-06	"Tolerant"	"non-eQTL"	NA	NA
"CNGA1"	2.7618e-11	"Tolerant"	"non-eQTL"	NA	NA
"TMEM5"	1.072e-06	"Tolerant"	"non-eQTL"	NA	NA
"PRMT10"	2.5269e-12	"Tolerant"	"non-eQTL"	NA	NA
"XIRP2"	2.0803e-52	"Tolerant"	"non-eQTL"	NA	NA
"C9orf72"	1.0647e-06	"Tolerant"	"non-eQTL"	NA	NA
"ADAMTS18"	1.0716e-29	"Tolerant"	"non-eQTL"	NA	NA
"LMAN2"	0.00010742	"Tolerant"	"non-eQTL"	NA	NA
"LMBRD1"	9.0253e-11	"Tolerant"	"non-eQTL"	NA	NA
"CCDC30"	1.4579e-17	"Tolerant"	"non-eQTL"	NA	NA
"PDZD11"	0.1986	"Tolerant"	"non-eQTL"	NA	NA
"NUP37"	1.0763e-05	"Tolerant"	"non-eQTL"	NA	NA
"PDCD4"	3.3572e-07	"Tolerant"	"non-eQTL"	NA	NA
"NUBPL"	1.0705e-05	"Tolerant"	"non-eQTL"	NA	NA
"CENPW"	0.40523	"Tolerant"	"non-eQTL"	NA	NA
"ALPK1"	1.0188e-19	"Tolerant"	"non-eQTL"	NA	NA
"ZNF286A"	3.3664e-06	"Tolerant"	"non-eQTL"	NA	NA
"FTCDNL1"	0.40524	"Tolerant"	"Cis"	"rs11693528"	-1.17719516027452
"HRC"	9.9367e-09	"Tolerant"	"non-eQTL"	NA	NA
"LY6G5C"	0.40546	"Tolerant"	"non-eQTL"	NA	NA
"CCDC42B"	0.00033169	"Tolerant"	"non-eQTL"	NA	NA
"LAMTOR2"	0.19816	"Tolerant"	"non-eQTL"	NA	NA
"SEC61G"	0.63104	"Tolerant"	"non-eQTL"	NA	NA
"BCLAF1"	2.0629e-14	"Tolerant"	"non-eQTL"	NA	NA
"TCN2"	1.0478e-06	"Tolerant"	"non-eQTL"	NA	NA
"NT5DC4"	9.7819e-09	"Tolerant"	"non-eQTL"	NA	NA
"MTG2"	0.00033086	"Tolerant"	"non-eQTL"	NA	NA
"ANTXRL"	3.1476e-08	"Tolerant"	"non-eQTL"	NA	NA
"LIPC"	3.2764e-07	"Tolerant"	"non-eQTL"	NA	NA
"GPR52"	0.0095377	"Tolerant"	"non-eQTL"	NA	NA
"XKR3"	0.078713	"Tolerant"	"non-eQTL"	NA	NA
"GGCX"	2.0199e-14	"Tolerant"	"non-eQTL"	NA	NA
"PTMS"	0.19751	"Tolerant"	"non-eQTL"	NA	NA
"DNPEP"	3.1627e-08	"Tolerant"	"non-eQTL"	NA	NA
"POLI"	3.1764e-08	"Tolerant"	"non-eQTL"	NA	NA
"SPINK5"	4.846e-28	"Tolerant"	"non-eQTL"	NA	NA
"HFM1"	4.7342e-32	"Tolerant"	"non-eQTL"	NA	NA
"TGM1"	2.2509e-13	"Tolerant"	"non-eQTL"	NA	NA
"ZNF232"	3.3651e-05	"Tolerant"	"non-eQTL"	NA	NA
"EGLN3"	0.0094753	"Tolerant"	"non-eQTL"	NA	NA
"POC1A"	3.2977e-06	"Tolerant"	"non-eQTL"	NA	NA
"GHRHR"	1.0082e-07	"Tolerant"	"non-eQTL"	NA	NA
"GPR144"	1.7455e-15	"Tolerant"	"non-eQTL"	NA	NA
"UMPS"	0.0001051	"Tolerant"	"non-eQTL"	NA	NA
"GLP2R"	2.635e-11	"Tolerant"	"non-eQTL"	NA	NA
"ZNF557"	0.027968	"Tolerant"	"non-eQTL"	NA	NA
"CHEK1"	3.14e-08	"Tolerant"	"non-eQTL"	NA	NA
"PRR16"	0.078558	"Tolerant"	"non-eQTL"	NA	NA
"CSPP1"	3.26e-29	"Tolerant"	"non-eQTL"	NA	NA
"KIAA1430"	0.00010469	"Tolerant"	"non-eQTL"	NA	NA
"KLF13"	0.40432	"Tolerant"	"non-eQTL"	NA	NA
"CNDP2"	1.0067e-07	"Tolerant"	"non-eQTL"	NA	NA
"HEXIM2"	0.028048	"Tolerant"	"non-eQTL"	NA	NA
"CRLS1"	0.0031076	"Tolerant"	"non-eQTL"	NA	NA
"ACO1"	3.8322e-18	"Tolerant"	"non-eQTL"	NA	NA
"CYP7B1"	3.2954e-06	"Tolerant"	"non-eQTL"	NA	NA
"ARHGAP10"	1.3092e-17	"Tolerant"	"non-eQTL"	NA	NA
"FAM76A"	1.0407e-05	"Tolerant"	"non-eQTL"	NA	NA
"LTA"	0.19685	"Tolerant"	"non-eQTL"	NA	NA
"MGST2"	0.078275	"Tolerant"	"non-eQTL"	NA	NA
"MARCH11"	0.003113	"Tolerant"	"non-eQTL"	NA	NA
"SCARA5"	1.0417e-05	"Tolerant"	"non-eQTL"	NA	NA
"P2RX3"	1.0318e-06	"Tolerant"	"non-eQTL"	NA	NA
"SLC10A4"	0.027914	"Tolerant"	"non-eQTL"	NA	NA
"SYNPO2L"	2.7515e-10	"Tolerant"	"non-eQTL"	NA	NA
"SUSD1"	2.169e-13	"Tolerant"	"non-eQTL"	NA	NA
"TAB1"	3.2186e-07	"Tolerant"	"non-eQTL"	NA	NA
"ECD"	2.3368e-12	"Tolerant"	"non-eQTL"	NA	NA
"POC1B"	3.0483e-08	"Tolerant"	"non-eQTL"	NA	NA
"HS6ST2"	0.0010077	"Tolerant"	"non-eQTL"	NA	NA
"ITM2A"	0.19657	"Tolerant"	"non-eQTL"	NA	NA
"QRICH2"	1.0765e-28	"Tolerant"	"non-eQTL"	NA	NA
"TLR2"	1.0152e-06	"Tolerant"	"non-eQTL"	NA	NA
"NPNT"	2.7295e-10	"Tolerant"	"non-eQTL"	NA	NA
"LRRC36"	7.7277e-12	"Tolerant"	"non-eQTL"	NA	NA
"HLA-F"	3.276e-05	"Tolerant"	"non-eQTL"	NA	NA
"TMEM176A"	0.0093723	"Tolerant"	"non-eQTL"	NA	NA
"WDR78"	4.2723e-17	"Tolerant"	"non-eQTL"	NA	NA
"RSPH3"	9.8725e-08	"Tolerant"	"non-eQTL"	NA	NA
"TPH1"	3.1872e-07	"Tolerant"	"non-eQTL"	NA	NA
"ESPN"	2.8667e-09	"Tolerant"	"non-eQTL"	NA	NA
"DOK7"	0.00010263	"Tolerant"	"non-eQTL"	NA	NA
"GIPC3"	0.0093379	"Tolerant"	"non-eQTL"	NA	NA
"ACRBP"	2.6954e-10	"Tolerant"	"non-eQTL"	NA	NA
"RHOU"	0.077808	"Tolerant"	"non-eQTL"	NA	NA
"AMHR2"	2.7013e-10	"Tolerant"	"non-eQTL"	NA	NA
"POMT1"	4.2265e-17	"Tolerant"	"non-eQTL"	NA	NA
"DUSP22"	0.0093421	"Tolerant"	"non-eQTL"	NA	NA
"TAGLN2"	0.0093548	"Tolerant"	"non-eQTL"	NA	NA
"FMN1"	3.5863e-18	"Tolerant"	"non-eQTL"	NA	NA
"HEATR2"	8.1011e-11	"Tolerant"	"non-eQTL"	NA	NA
"KLHL33"	1.0165e-05	"Tolerant"	"non-eQTL"	NA	NA
"MAD2L1"	0.0092952	"Tolerant"	"non-eQTL"	NA	NA
"RPL29"	0.19534	"Tolerant"	"non-eQTL"	NA	NA
"AGAP2-AS1"	0.027534	"Tolerant"	"non-eQTL"	NA	NA
"YPEL4"	0.1956	"Tolerant"	"non-eQTL"	NA	NA
"RHBDF1"	5.4089e-15	"Tolerant"	"non-eQTL"	NA	NA
"PEX19"	0.0003188	"Tolerant"	"non-eQTL"	NA	NA
"ATG7"	7.3758e-12	"Tolerant"	"non-eQTL"	NA	NA
"HGD"	2.9631e-08	"Tolerant"	"non-eQTL"	NA	NA
"ANXA7"	8.5846e-10	"Tolerant"	"non-eQTL"	NA	NA
"AOX1"	1.171e-31	"Tolerant"	"non-eQTL"	NA	NA
"OR2T4"	0.19492	"Tolerant"	"non-eQTL"	NA	NA
"APOC2"	0.40164	"Tolerant"	"non-eQTL"	NA	NA
"ASL"	8.5727e-10	"Tolerant"	"non-eQTL"	NA	NA
"CD200R1L"	0.0030387	"Tolerant"	"non-eQTL"	NA	NA
"NPC1L1"	2.3098e-20	"Tolerant"	"non-eQTL"	NA	NA
"ANKEF1"	8.5371e-10	"Tolerant"	"non-eQTL"	NA	NA
"NNAT"	0.40136	"Tolerant"	"non-eQTL"	NA	NA
"ZNF259"	8.9466e-09	"Tolerant"	"non-eQTL"	NA	NA
"SEC14L2"	2.9195e-08	"Tolerant"	"non-eQTL"	NA	NA
"AK1"	0.027319	"Tolerant"	"non-eQTL"	NA	NA
"GALC"	5.2142e-15	"Tolerant"	"non-eQTL"	NA	NA
"ABCB10"	2.9084e-08	"Tolerant"	"non-eQTL"	NA	NA
"ALDH5A1"	3.0504e-07	"Tolerant"	"non-eQTL"	NA	NA
"RTN4IP1"	3.1428e-06	"Tolerant"	"non-eQTL"	NA	NA
"ZNF605"	0.40086	"Tolerant"	"non-eQTL"	NA	NA
"LUM"	0.07696	"Tolerant"	"non-eQTL"	NA	NA
"LRRIQ1"	5.5161e-37	"Tolerant"	"non-eQTL"	NA	NA
"PLOD1"	1.4837e-15	"Tolerant"	"non-eQTL"	NA	NA
"ORMDL2"	0.19417	"Tolerant"	"non-eQTL"	NA	NA
"PITRM1"	5.9266e-21	"Tolerant"	"non-eQTL"	NA	NA
"ATP1A4"	2.1395e-20	"Tolerant"	"non-eQTL"	NA	NA
"PLEKHH2"	4.8228e-34	"Tolerant"	"non-eQTL"	NA	NA
"ESPNL"	2.535e-10	"Tolerant"	"non-eQTL"	NA	NA
"CORO7-PAM16"	7.6179e-25	"Tolerant"	"non-eQTL"	NA	NA
"SAMHD1"	6.4524e-13	"Tolerant"	"non-eQTL"	NA	NA
"XXbac-BPG181M17.5"	0.076603	"Tolerant"	"non-eQTL"	NA	NA
"DUOX1"	6.2238e-33	"Tolerant"	"non-eQTL"	NA	NA
"CAND2"	4.326e-16	"Tolerant"	"non-eQTL"	NA	NA
"LRGUK"	1.4489e-15	"Tolerant"	"non-eQTL"	NA	NA
"NADSYN1"	1.2527e-16	"Tolerant"	"non-eQTL"	NA	NA
"CCDC106"	0.027151	"Tolerant"	"non-eQTL"	NA	NA
"AC011530.4"	0.076414	"Tolerant"	"non-eQTL"	NA	NA
"ASB1"	0.0029925	"Tolerant"	"non-eQTL"	NA	NA
"RSPH4A"	7.5712e-11	"Tolerant"	"non-eQTL"	NA	NA
"ATP6V1C2"	2.8499e-08	"Tolerant"	"non-eQTL"	NA	NA
"PCDHGA5"	2.8417e-08	"Tolerant"	"non-eQTL"	NA	NA
"FBXL13"	2.0856e-12	"Tolerant"	"non-eQTL"	NA	NA
"C9orf3"	4.9823e-15	"Tolerant"	"non-eQTL"	NA	NA
"LIPN"	3.1003e-05	"Tolerant"	"non-eQTL"	NA	NA
"CLEC17A"	9.0963e-08	"Tolerant"	"non-eQTL"	NA	NA
"CEP57L1"	2.8112e-08	"Tolerant"	"non-eQTL"	NA	NA
"IGFN1"	3.2796e-51	"Tolerant"	"non-eQTL"	NA	NA
"KRTAP4-12"	0.19293	"Tolerant"	"non-eQTL"	NA	NA
"GBA2"	1.9892e-20	"Tolerant"	"non-eQTL"	NA	NA
"CTSK"	3.0989e-05	"Tolerant"	"non-eQTL"	NA	NA
"PRSS22"	0.0029749	"Tolerant"	"non-eQTL"	NA	NA
"PHAX"	3.0443e-06	"Tolerant"	"non-eQTL"	NA	NA
"TTF1"	6.2102e-13	"Tolerant"	"non-eQTL"	NA	NA
"VWA3B"	9.7397e-28	"Tolerant"	"non-eQTL"	NA	NA
"PCDHGB4"	2.7854e-08	"Tolerant"	"non-eQTL"	NA	NA
"RP11-178C3.1"	0.39911	"Tolerant"	"non-eQTL"	NA	NA
"ABHD11"	0.0029581	"Tolerant"	"non-eQTL"	NA	NA
"CNNM4"	2.9325e-07	"Tolerant"	"non-eQTL"	NA	NA
"CYB5R4"	2.6203e-09	"Tolerant"	"non-eQTL"	NA	NA
"ARFIP1"	3.079e-05	"Tolerant"	"non-eQTL"	NA	NA
"NAE1"	1.8043e-13	"Tolerant"	"non-eQTL"	NA	NA
"H6PD"	8.5874e-09	"Tolerant"	"non-eQTL"	NA	NA
"ABCC10"	1.2887e-26	"Tolerant"	"non-eQTL"	NA	NA
"HAND2"	0.39908	"Tolerant"	"non-eQTL"	NA	NA
"GALNT12"	9.3863e-07	"Tolerant"	"non-eQTL"	NA	NA
"RPS4Y1"	0.62651	"Tolerant"	"non-eQTL"	NA	NA
"SLC4A11"	4.6435e-15	"Tolerant"	"non-eQTL"	NA	NA
"FCRL4"	7.9109e-10	"Tolerant"	"non-eQTL"	NA	NA
"FAM207A"	0.075641	"Tolerant"	"non-eQTL"	NA	NA
"PRDX4"	0.026755	"Tolerant"	"non-eQTL"	NA	NA
"MCOLN3"	7.3204e-11	"Tolerant"	"non-eQTL"	NA	NA
"RFC3"	9.576e-06	"Tolerant"	"non-eQTL"	NA	NA
"TMPRSS2"	2.4044e-10	"Tolerant"	"non-eQTL"	NA	NA
"HBEGF"	0.07563	"Tolerant"	"non-eQTL"	NA	NA
"WDR87"	6.1602e-20	"Tolerant"	"non-eQTL"	NA	NA
"TMEM151A"	0.0029247	"Tolerant"	"non-eQTL"	NA	NA
"ATP6V0E1"	0.39774	"Tolerant"	"non-eQTL"	NA	NA
"PADI3"	2.3615e-10	"Tolerant"	"non-eQTL"	NA	NA
"GMPPA"	8.3635e-09	"Tolerant"	"non-eQTL"	NA	NA
"EXPH5"	4.1598e-26	"Tolerant"	"non-eQTL"	NA	NA
"POLRMT"	1.739e-20	"Tolerant"	"non-eQTL"	NA	NA
"APOBEC3C"	0.026691	"Tolerant"	"non-eQTL"	NA	NA
"DUS3L"	2.1445e-11	"Tolerant"	"non-eQTL"	NA	NA
"SHC4"	7.1127e-11	"Tolerant"	"non-eQTL"	NA	NA
"CIDEC"	0.0089662	"Tolerant"	"non-eQTL"	NA	NA
"MPP7"	2.1745e-11	"Tolerant"	"non-eQTL"	NA	NA
"P4HA3"	7.8011e-10	"Tolerant"	"non-eQTL"	NA	NA
"TOMM20"	0.026672	"Tolerant"	"non-eQTL"	NA	NA
"FUCA1"	2.6956e-08	"Tolerant"	"non-eQTL"	NA	NA
"TMEM67"	2.0654e-24	"Tolerant"	"non-eQTL"	NA	NA
"PLCXD3"	0.0089141	"Tolerant"	"non-eQTL"	NA	NA
"RSPH6A"	2.3355e-10	"Tolerant"	"non-eQTL"	NA	NA
"UPF3A"	9.1728e-07	"Tolerant"	"non-eQTL"	NA	NA
"UBE2Q2"	8.744e-08	"Tolerant"	"non-eQTL"	NA	NA
"C1orf50"	0.026595	"Tolerant"	"non-eQTL"	NA	NA
"LIPT2"	0.62575	"Tolerant"	"non-eQTL"	NA	NA
"STMN1"	0.075244	"Tolerant"	"non-eQTL"	NA	NA
"OSMR"	9.2144e-18	"Tolerant"	"non-eQTL"	NA	NA
"ARFGAP3"	7.0246e-11	"Tolerant"	"non-eQTL"	NA	NA
